region_reference
республика адыгея
республика башкортостан
республика бурятия
республика алтай
республика дагестан
республика ингушетия
кабардино-балкарская республика
республика калмыкия
карачаево-черкесская республика
республика карелия
республика коми
республика марий эл
республика мордовия
республика саха (якутия)
республика северная осетия - алания
республика татарстан (татарстан)
республика тыва
удмуртская республика
республика хакасия
чеченская республика
чувашская республика - чувашия
алтайский край
краснодарский край
красноярский край
приморский край
ставропольский край
хабаровский край
амурская область
архангельская область
астраханская область
белгородская область
брянская область
владимирская область
волгоградская область
вологодская область
воронежская область
ивановская область
иркутская область
калининградская область
калужская область
камчатский край
кемеровская область
кировская область
костромская область
курганская область
курская область
ленинградская область
липецкая область
магаданская область
московская область
мурманская область
нижегородская область
новгородская область
новосибирская область
омская область
оренбургская область
орловская область
пензенская область
пермский край
псковская область
ростовская область
рязанская область
самарская область
саратовская область
сахалинская область
свердловская область
смоленская область
тамбовская область
тверская область
томская область
тульская область
тюменская область
ульяновская область
челябинская область
забайкальский край
ярославская область
г. москва
г. санкт-петербург
еврейская автономная область
ненецкий автономный округ
ханты-мансийский ао - югра
чукотский автономный округ
ямало-ненецкий автономный округ
республика крым
г. севастополь
запорожская область
донецкая народная республика
луганская народная республика
херсонская область
